species,pollinator,lifehistory
Agalinis_aff_itambensis,bee,perennial
Agalinis_aff_nana,bee,perennial
Agalinis_albida,bee,annual
Agalinis_angustifolia,bird,perennial
Agalinis_aphylla,bee,annual
Agalinis_auriculata,bee,annual
Agalinis_bandeirensis,bee,annual
Agalinis_brachyphylla,bee,perennial
Agalinis_brevifolia,bee,perennial
Agalinis_calycina,bee,annual
Agalinis_communis,bee,annual
Agalinis_decemloba,bee,annual
Agalinis_divaricata,bee,annual
Agalinis_edwardsiana,bee,annual
Agalinis_fasciculata,bee,annual
Agalinis_fiebrigii,bee,perennial
Agalinis_filicaulis,bee,annual
Agalinis_flexicaulis,bee,annual
Agalinis_gattingeri,bee,annual
Agalinis_genistifolia,bee,perennial
Agalinis_gypsophila,bee,perennial
Agalinis_harperi,bee,annual
Agalinis_heterophylla,bee,annual
Agalinis_homalantha,bee,annual
Agalinis_kingsii,bee,annual
Agalinis_lanceolata,bird,perennial
Agalinis_laxa,bee,annual
Agalinis_linifolia,bee,perennial
Agalinis_maritima,bee,annual
Agalinis_megalantha,bird,perennial
Agalinis_navasotensis,bee,annual
Agalinis_obtusifolia,bee,annual
Agalinis_oligophylla,bee,annual
Agalinis_peduncularis,bee,annual
Agalinis_pennellii,bee,perennial
Agalinis_plukenetii,bee,annual
Agalinis_pulchella,bee,annual
Agalinis_purpurea,bee,annual
Agalinis_ramosissima,bee,perennial
Agalinis_scarlatina,bird,perennial
Agalinis_setacea,bee,annual
Agalinis_skinneriana,bee,annual
Agalinis_strictifolia,bee,annual
Agalinis_tenella,bee,annual
Agalinis_tenuifolia,bee,annual
Agalinis_viridis,bee,annual
Esterhazya_caesarea,bird,perennial
Esterhazya_nanuzae,bird,perennial
Esterhazya_splendida,bird,perennial
